@relation pitchbase

@attribute 18 numeric
@attribute 4.0 numeric
@attribute 0.08139316523779583 numeric
@attribute 109 numeric
@attribute 125.78616352201257 numeric
@attribute 61.059636970515406 numeric
@attribute 317 numeric
@attribute 34.93561191867119 numeric
@attribute 35.66116862659576 numeric
@attribute 156 numeric
@attribute 0.3624143941165391 numeric
@attribute 128.2051282051282 numeric
@attribute 129.776 numeric

@data
22,0.363636,0.163566,69,168.067227,44.318591,358,58.424504,59.263778,118,0.706275,169.491525,168.277
20,0.55,0.135444,75,160,77.367017,372,61.793701,55.518556,123,0.590975,162.601626,160.231
26,1.153846,0.07691,75,160,48.231901,395,23.47247,25.505907,142,0.53279,140.84507,145.425
26,1.115385,0.175013,94,138.888889,35.901464,142,37.799876,40.886681,142,0.737745,140.84507,139.16
31,0.387097,0.16723,95,137.931034,21.051535,285,48.025917,47.923277,142,0.747998,140.84507,139.408
28,0.392857,0.212351,94,138.888889,14.287608,286,45.744915,44.564223,143,0.711865,139.86014,139.039
27,1.444444,0.157529,92,140.84507,36.644346,288,32.603725,33.148555,144,0.648655,138.888889,137.915
25,1.08,0.077813,4,370.37037,38.235861,287,17.344478,19.209092,146,0.415642,136.986301,126.58
19,3.894737,0.092941,56,188.679245,69.443326,363,44.168746,29.591591,146,0.375641,136.986301,117.201
15,5.066667,0.081575,1,392.156863,61.439092,397,39.341062,34.07808,70,0.408684,285.714286,70.3333
17,0.294118,0.054576,3,377.358491,44.687732,399,47.701611,65.014007,79,0.398603,253.164557,70.7798
20,0.5,0.172305,150,100,54.935797,362,28.546358,22.2054,19,0.21738,1052.631579,100.705
18,1.277778,0.101903,109,125.786164,42.242728,399,19.354392,16.411847,23,0.227951,869.565217,116.993
21,0.761905,0.131876,118,119.047619,49.946208,335,36.571346,32.121262,167,0.550192,119.760479,116.783
20,0.1,0.088223,116,120.481928,31.882905,331,36.063407,34.32784,165,0.619127,121.212121,121.372
20,1.35,0.147974,112,123.45679,27.681177,162,31.53749,35.456189,162,0.680339,123.45679,123.533
23,0.347826,0.10393,109,125.786164,32.847796,324,31.856961,37.336331,162,0.638364,123.45679,124.289
25,2.04,0.093328,109,125.786164,45.170529,335,33.299091,24.965496,166,0.539519,120.481928,120.667
25,0.96,0.097538,13,317.460317,66.138466,308,37.962704,39.121357,155,0.477346,129.032258,131.522
23,0.521739,0.102247,112,123.45679,48.358938,321,32.937055,37.350987,160,0.557153,125,124.671
27,0.37037,0.134715,114,121.95122,30.535889,329,24.422976,29.696541,165,0.642696,121.212121,122.199
28,0.25,0.127377,119,118.343195,38.805633,346,29.470219,24.684785,171,0.430427,116.959064,117.702
30,1.733333,0.199662,127,112.99435,27.826025,354,32.676707,29.586231,178,0.538189,112.359551,112.547
30,0.866667,0.105096,135,108.108108,15.308502,372,28.068791,27.114372,186,0.538476,107.526882,107.54
25,1.8,0.238155,144,103.092784,38.326991,383,35.638161,23.605759,30,0.325655,666.666667,102.325
27,0.518519,0.119506,158,96.153846,39.156403,380,31.57295,24.522151,205,0.39661,97.560976,97.5784
31,0.064516,0.136232,164,93.457944,44.259369,209,26.749422,21.19775,211,0.381233,94.78673,93.4206
32,0.84375,0.09665,3,377.358491,36.817459,382,19.645165,20.267907,219,0.420862,91.324201,89.8928
28,1.142857,0.092059,5,363.636364,24.725583,213,19.645397,24.179682,213,0.569074,93.896714,93.8054
28,2.392857,0.07531,5,363.636364,48.375485,213,34.569022,38.518637,213,0.506773,93.896714,92.8312
36,0.055556,0.076175,11,327.868852,40.885014,219,39.555678,38.563551,219,0.570425,91.324201,92.664
38,0.657895,0.091132,0,400,45.665116,220,32.181241,32.014425,220,0.55978,90.909091,91.8701
41,0.317073,0.104949,4,370.37037,52.665453,383,38.2048,22.508173,231,0.301223,86.580087,92.3807
39,0.794872,0.072299,171,90.497738,51.910421,385,39.700802,21.236279,203,0.283024,98.522167,92.3505
29,1.034483,0.132072,160,95.238095,28.245339,356,22.518686,26.858607,356,0.348982,56.179775,98.9569
19,2.157895,0.117329,122,116.27907,48.462029,395,30.373143,31.744495,172,0.386674,116.27907,122.242
17,2.411765,0.163965,113,122.699387,43.79071,335,37.429711,39.555146,164,0.52245,121.95122,122.681
12,15.666667,0.076896,67,170.940171,52.756731,164,25.339934,31.728685,164,0.462854,121.95122,114.445
41,1.121951,0.137014,86,147.058824,66.329651,274,72.598625,77.28597,138,0.678883,144.927536,141.544
23,1.304348,0.124554,82,151.515152,52.010643,397,42.538419,45.575134,130,0.601224,153.846154,150.152
22,1.181818,0.125957,78,156.25,50.894542,378,58.194315,60.877158,126,0.719609,158.730159,156.165
24,1.166667,0.201461,72,163.934426,38.88524,367,53.668481,56.352062,121,0.695978,165.289256,163.957
29,0.448276,0.335939,69,168.067227,44.101946,358,56.7877,61.325952,119,0.745337,168.067227,168.067
28,0.75,0.208114,75,160,63.978527,374,50.50426,32.280038,119,0.262949,168.067227,157.465
21,1.619048,0.136375,2,384.615385,67.765915,362,36.06952,30.290571,72,0.313022,277.777778,131.436
15,2.2,0.118309,86,147.058824,58.12271,375,46.582889,51.763487,80,0.510133,250,91.0038
11,5.272727,0.10041,6,357.142857,69.307145,373,34.675173,56.471297,80,0.475017,250,100.528
49,0.22449,0.078979,5,363.636364,62.169438,397,60.082608,43.689219,5,0.677221,4000,149.876
21,0.238095,0.117285,88,144.927536,51.858212,279,60.041898,74.523698,139,0.658269,143.884892,144.656
16,0.5625,0.147359,90,142.857143,41.644525,282,81.567516,93.922649,141,0.746898,141.843972,142.439
22,0.272727,0.155948,94,138.888889,36.783769,285,36.058399,51.805592,145,0.632463,137.931034,138.392
21,2,0.157064,101,132.450331,60.488979,150,56.34374,66.615697,150,0.685359,133.333333,133.728
15,2.266667,0.172234,106,128.205128,44.771181,309,68.662182,76.824678,153,0.711085,130.718954,129.425
19,0.157895,0.136726,113,122.699387,42.397168,321,58.266991,65.184381,158,0.638172,126.582278,124.112
19,0.315789,0.190645,116,120.481928,32.004512,335,69.014984,80.841594,166,0.664227,120.481928,120.086
17,5.058824,0.220199,123,115.606936,33.66926,342,80.131968,89.41918,173,0.66664,115.606936,116.222
16,0.5,0.085008,126,113.636364,52.652111,354,52.334821,59.877398,176,0.589997,113.636364,111.934
10,7.3,0.074925,121,116.959064,47.742787,399,19.449144,32.853824,174,0.249565,114.942529,101.774
36,0.277778,0.146533,132,109.89011,51.328335,182,29.72712,38.29585,182,0.514542,109.89011,110.894
16,0.125,0.235416,127,112.99435,27.599647,356,49.271696,57.32559,179,0.676364,111.731844,112.947
20,0.2,0.16874,129,111.731844,31.088925,360,36.005143,52.697245,179,0.630389,111.731844,110.261
65,0.076923,0.083921,83,150.37594,53.070098,374,24.690298,21.750304,4,0.75942,5000,104.881
18,3.388889,0.13074,123,115.606936,68.265595,342,56.943927,61.342687,169,0.532852,118.343195,118.087
11,8.909091,0.119975,123,115.606936,46.456854,357,42.052711,67.873236,173,0.591478,115.606936,113.983
7,10.857143,0.185949,121,116.959064,40.340366,344,136.790925,137.54511,172,0.683855,116.27907,117.647
10,0.2,0.216056,121,116.959064,16.353637,341,128.276085,132.328564,169,0.704173,118.343195,116.802
11,5.818182,0.187315,123,115.606936,34.450967,172,63.952446,86.583499,172,0.681499,116.27907,114.935
14,0.642857,0.207496,122,116.27907,31.457802,172,41.339101,34.466302,172,0.688605,116.27907,116.279
18,0.555556,0.233897,119,118.343195,32.734796,341,40.976895,32.798238,170,0.653984,117.647059,117.961
21,0.47619,0.324391,120,117.647059,31.376296,339,36.067121,29.320869,170,0.61887,117.647059,117.935
20,0.65,0.212824,119,118.343195,33.700478,339,40.70098,48.06585,169,0.664993,118.343195,118.853
18,1.611111,0.319032,119,118.343195,22.061185,338,41.557717,51.650178,169,0.737533,118.343195,118.446
18,5.111111,0.182027,120,117.647059,24.889943,169,35.349388,47.154923,169,0.711608,118.343195,117.127
20,0.25,0.107833,121,116.959064,34.279452,345,24.66243,37.447708,171,0.585819,116.959064,115.609
29,2.310345,0.115339,102,131.578947,78.191832,377,57.135076,50.999246,149,0.542561,134.228188,145.132
20,2.7,0.119181,103,130.718954,57.133352,300,76.477254,68.868769,152,0.638997,131.578947,133.073
24,0.625,0.151593,109,125.786164,54.828065,314,73.78746,64.994791,156,0.623342,128.205128,126.583
27,0.37037,0.189691,115,121.212121,56.616112,332,58.501242,48.532023,164,0.50481,121.95122,120.888
23,1.826087,0.08854,6,357.142857,58.762211,351,58.90447,47.693159,174,0.487113,114.942529,113.363
20,2.05,0.180576,138,106.382979,31.483924,375,38.14986,46.807842,187,0.545424,106.951872,106.401
18,0.444444,0.15441,147,101.522843,27.861131,399,32.192915,43.970687,198,0.527156,101.010101,100.232
23,0.130435,0.099038,157,96.618357,33.672561,207,38.064809,50.747699,207,0.597604,96.618357,96.331
28,1.535714,0.092458,166,92.592593,37.743876,217,40.249015,57.406891,217,0.581552,92.165899,92.601
25,0.28,0.085583,33,240.963855,41.390723,219,30.092788,50.503029,222,0.515174,90.09009,89.9656
38,0.263158,0.060483,167,92.165899,55.811769,231,29.585096,22.979429,7,0.64152,2857.142857,85.2169
25,0.64,0.072226,29,253.164557,30.820751,399,14.270887,16.165708,142,0.291903,140.84507,143.039
23,0.73913,0.109953,103,130.718954,39.758343,292,21.444742,21.148371,154,0.426602,129.87013,155.572
23,1.130435,0.153471,87,145.985401,58.065808,291,37.78774,23.583677,140,0.306546,142.857143,143.138
19,1.526316,0.158376,86,147.058824,60.902947,399,44.183598,38.244343,138,0.571351,144.927536,146.202
13,7.692308,0.142158,83,150.37594,35.915707,134,26.237162,32.621721,134,0.709746,149.253731,153.783
7,18.142857,0.09318,78,156.25,34.957039,399,23.449503,55.05208,132,0.513959,151.515152,154.988
5,24.4,0.144325,75,160,25.367563,375,186.590472,213.698031,124,0.807641,161.290323,160.493
5,23.8,0.148246,71,165.289256,18.894274,364,169.582898,195.300056,120,0.803737,166.666667,165.797
6,19,0.140474,69,168.067227,24.429004,352,174.522681,198.748345,117,0.800746,170.940171,171.402
8,4.25,0.102288,65,173.913043,32.21382,113,25.203848,31.122211,112,0.639673,178.571429,176.386
14,2.142857,0.196568,68,169.491525,42.554893,345,39.371307,40.190127,116,0.690608,172.413793,175.277
18,1.611111,0.149017,69,168.067227,50.631943,385,42.044635,37.718791,119,0.611702,168.067227,160.377
10,4.8,0.18641,87,145.985401,55.55709,137,105.707126,117.959355,137,0.728043,145.985401,145.967
10,13.5,0.259768,85,148.148148,31.167881,135,139.212073,152.864413,135,0.796371,148.148148,147.059
7,19.142857,0.199973,83,150.37594,19.632871,268,146.576543,156.950005,134,0.77741,149.253731,149.255
8,6,0.202578,85,148.148148,29.878034,135,22.682317,24.363544,135,0.500987,148.148148,147.654
15,1.866667,0.235983,87,145.985401,37.344695,135,33.668953,37.217418,135,0.71928,148.148148,146.689
19,1.947368,0.287731,87,145.985401,35.576246,136,57.372808,59.008052,136,0.784484,147.058824,145.089
20,1.05,0.21236,87,145.985401,36.447259,137,52.822762,59.742385,137,0.733441,145.985401,148.008
17,1.294118,0.182642,85,148.148148,39.089753,137,45.733622,54.055389,137,0.722781,145.985401,145.15
15,1.2,0.184937,87,145.985401,61.166483,138,63.063289,84.169023,138,0.684535,144.927536,143.734
22,0.5,0.1361,82,151.515152,34.633134,397,45.920077,48.919499,133,0.629779,150.37594,150.388
20,1.55,0.191327,84,149.253731,31.356305,399,50.466594,59.908823,133,0.790797,150.37594,150.689
15,6.466667,0.137573,83,150.37594,51.399849,133,33.711555,40.726668,133,0.58516,150.37594,145.436
13,3.153846,0.084525,84,149.253731,52.672329,133,32.099615,38.840265,134,0.524625,149.253731,145.651
16,2.0625,0.281378,83,150.37594,37.154294,132,54.782538,64.490236,132,0.79387,151.515152,149.441
15,2.266667,0.249207,83,150.37594,19.261124,399,54.974788,63.112637,133,0.766035,150.37594,149.661
18,0.777778,0.110658,86,147.058824,52.061943,134,43.42366,51.443208,134,0.678045,149.253731,145.551
19,1.631579,0.076209,154,98.039216,42.028243,395,36.391189,36.235958,202,0.418672,99.009901,115.258
17,0.647059,0.203961,147,101.522843,24.587875,399,39.778084,40.568832,198,0.49195,101.010101,101.245
19,1.421053,0.278164,155,97.560976,24.274086,205,29.502,39.169001,205,0.615857,97.560976,97.2714
23,0.521739,0.154627,161,94.78673,37.048247,205,34.681323,39.566896,206,0.535357,97.087379,95.9875
20,4.1,0.160661,156,97.087379,38.944563,206,54.919938,55.93345,206,0.63608,97.087379,96.5556
18,2.222222,0.095994,156,97.087379,56.705923,206,50.462423,49.338288,206,0.561572,97.087379,96.1858
16,0.375,0.09836,167,92.165899,57.63496,218,57.98877,65.971074,217,0.430619,92.165899,93.7428
11,6.272727,0.138722,161,94.78673,44.194059,211,102.431631,110.16116,212,0.645906,94.339623,93.0125
11,0.272727,0.088281,57,186.915888,28.601877,216,91.562517,104.009465,216,0.655393,92.592593,92.1255
11,5.272727,0.101798,1,392.156863,60.808299,219,60.366876,71.310652,218,0.485542,91.743119,87.7626
29,0.344828,0.085295,153,98.522167,39.11505,369,25.250304,29.196738,207,0.364223,96.618357,104.079
22,2.454545,0.080197,167,92.165899,35.794581,210,28.393763,33.902912,211,0.524866,94.78673,93.4955
22,0.545455,0.090641,162,94.339623,22.149095,212,30.11708,37.560289,211,0.616271,94.78673,94.6251
23,0.73913,0.16402,169,91.324201,40.845751,219,31.841779,32.199149,217,0.414523,92.165899,90.937
27,1.111111,0.122345,166,92.592593,40.411719,216,26.33021,29.413041,217,0.395479,92.165899,91.1098
29,0.827586,0.130055,163,93.896714,39.486774,373,22.841125,26.608491,224,0.333105,89.285714,92.0812
26,0.423077,0.116845,172,90.09009,31.508921,221,26.504584,34.275573,220,0.538608,90.909091,90.4587
27,0.296296,0.075913,6,357.142857,38.297989,219,32.828037,39.322605,220,0.558139,90.909091,91.2324
25,1.88,0.090706,170,90.909091,46.483787,219,32.507608,40.070919,219,0.555898,91.324201,90.8573
38,0.289474,0.070438,8,344.827586,76.080849,235,41.815591,40.992836,140,0.238974,142.857143,84.2151
53,1.207547,0.074057,270,62.5,80.484386,396,59.028043,42.921673,8,0.659376,2500,112.702
36,1.694444,0.080844,49,202.020202,69.532263,367,56.78479,43.933872,7,0.685639,2857.142857,88.6134
29,1.137931,0.068515,143,103.626943,72.25746,392,46.131236,46.042635,436,0.326084,45.87156,102.721
22,2.954545,0.100295,45,210.526316,62.027442,250,41.951532,44.275105,448,0.316439,44.642857,84.6049
30,0.266667,0.092911,68,169.491525,60.825176,368,48.2216,51.342084,203,0.29742,98.522167,89.4221
49,0.142857,0.081206,2,384.615385,57.067699,231,31.488859,46.945463,231,0.44287,86.580087,90.8921
31,1.258065,0.219659,137,106.951872,54.241278,337,39.75114,31.290457,141,0.309185,141.843972,111.111
37,0.081081,0.079236,280,60.606061,52.444462,397,34.434659,46.965945,149,0.550781,134.228188,124.4
86,0.046512,0.088691,68,169.491525,85.183714,396,56.063926,42.506691,5,0.722509,4000,128.507
50,1.72,0.077586,103,130.718954,72.663951,399,52.479958,45.625312,4,0.812221,5000,189.812
12,1.083333,0.13922,13,317.460317,44.388269,361,69.573863,66.29553,120,0.593549,166.666667,166.957
12,6.833333,0.179921,69,168.067227,25.152664,360,78.778403,83.878321,120,0.747392,166.666667,167.776
11,3.909091,0.208608,69,168.067227,37.265972,359,67.520675,73.243933,120,0.729316,166.666667,168.067
12,3.833333,0.201883,68,169.491525,46.234911,117,86.660462,90.610016,117,0.780171,170.940171,170.123
15,2.066667,0.256176,65,173.913043,34.310555,115,75.500151,80.498749,115,0.788061,173.913043,172.211
17,1.941176,0.186022,64,175.438596,32.916024,114,82.217717,85.136086,114,0.792239,175.438596,174.018
18,2.5,0.277593,65,173.913043,40.657688,341,91.886635,93.513183,114,0.810925,175.438596,173.913
18,0.944444,0.175191,65,173.913043,41.728462,113,59.280348,63.61566,113,0.76949,176.99115,173.04
15,4.6,0.13177,65,173.913043,48.246033,114,38.237331,43.871958,114,0.676615,175.438596,170.612
22,0.318182,0.084148,45,210.526316,61.439948,376,59.566284,56.752066,123,0.583418,162.601626,157.667
27,0.074074,0.106978,49,202.020202,63.823142,100,53.873657,56.507876,100,0.714781,200,197.245
22,1.954545,0.170053,48,204.081633,42.818791,99,69.534499,73.388675,99,0.810945,202.020202,203.308
20,2.15,0.302035,49,202.020202,31.050352,398,99.961011,102.039937,100,0.850731,200,201.34
20,2.45,0.261023,51,198.019802,48.774259,101,98.399262,95.272424,101,0.795457,198.019802,196.213
19,1.315789,0.22802,55,190.47619,66.041797,105,96.705967,87.970481,105,0.733879,190.47619,189.514
19,1.684211,0.139989,60,181.818182,81.729367,333,100.898595,82.805537,111,0.642284,180.18018,180.39
19,0.421053,0.135709,70,166.666667,79.549704,365,91.078933,70.239354,119,0.562582,168.067227,164.789
18,2.5,0.118643,80,153.846154,61.308749,397,69.528734,52.816965,132,0.471991,151.515152,150.297
21,1.428571,0.116025,92,140.84507,60.838298,388,48.8531,50.180471,143,0.597311,139.86014,137.191
15,4.066667,0.063937,5,363.636364,48.063322,150,19.851622,29.40569,152,0.322678,131.578947,114.741
24,1.708333,0.148385,148,101.010101,47.384925,387,29.725425,35.937607,198,0.435237,101.010101,114.677
13,6.307692,0.185321,154,98.039216,51.965451,399,48.065671,49.080061,203,0.563397,98.522167,97.1589
14,1.857143,0.139102,154,98.039216,35.643211,203,50.552629,51.365296,203,0.600667,98.522167,97.2715
20,0.55,0.132814,168,91.743119,61.23208,378,36.76606,35.543836,42,0.395578,476.190476,91.2038
26,0.346154,0.080315,85,148.148148,48.398304,395,26.029482,26.775279,39,0.260293,512.820513,87.1669
18,4.333333,0.069387,178,87.719298,50.045917,399,24.487072,31.207527,434,0.29434,46.082949,90.1169
20,0.85,0.081491,179,87.336245,47.601217,383,31.667942,18.369158,10,0.327434,2000,91.3422
25,1.52,0.122922,162,94.339623,59.050692,397,37.257975,21.048872,214,0.35023,93.457944,92.8895
25,0.64,0.144346,171,90.497738,39.375572,220,36.839162,29.529582,220,0.584421,90.909091,90.7813
27,0.185185,0.138804,174,89.285714,39.1568,220,35.040384,38.793604,220,0.536341,90.909091,89.8931
27,1.962963,0.191499,182,86.206897,54.291124,231,43.637459,39.793377,232,0.430671,86.206897,85.9809
22,6.318182,0.134951,170,90.909091,52.374105,229,36.030444,61.704765,224,0.408121,89.285714,90.573
12,6.166667,0.064353,174,89.285714,26.018736,230,81.480362,94.885294,229,0.62451,87.336245,88.2238
13,0.153846,0.065048,174,89.285714,40.409852,226,119.49287,120.634993,225,0.641335,88.888889,88.8423
14,0.142857,0.113022,180,86.956522,32.973558,230,120.118971,116.598188,230,0.596061,86.956522,86.7035
13,0.384615,0.07516,1,392.156863,65.817858,231,67.743879,76.229977,225,0.446239,88.888889,86.9268
19,0.157895,0.071415,181,86.580087,50.999399,227,39.974871,67.227624,227,0.531024,88.105727,84.9247
27,1.851852,0.082588,270,62.5,55.910887,235,39.578732,63.513898,234,0.442508,85.470085,82.7578
27,1.925926,0.075588,86,147.058824,65.984244,233,60.532381,76.696746,233,0.474073,85.83691,83.6754
31,0.774194,0.087639,2,384.615385,57.789276,243,38.701965,29.282992,11,0.498243,1818.181818,84.5011
30,2.2,0.067401,2,384.615385,53.703157,236,31.801175,21.343763,236,0.388154,84.745763,83.4237
33,0.242424,0.070065,92,140.84507,43.993067,235,26.45924,30.934078,229,0.413242,87.336245,86.2511
36,1.388889,0.072965,177,88.105727,42.105472,228,29.359071,35.325911,228,0.522016,87.719298,88.3711
31,0.096774,0.070257,2,384.615385,52.129109,235,43.145388,41.335202,233,0.494496,85.83691,85.3811
28,2.035714,0.073347,186,84.745763,35.996809,238,38.806727,38.923217,236,0.461858,84.745763,85.7194
27,1.851852,0.128475,181,86.580087,43.222383,232,40.520601,43.671152,232,0.559497,86.206897,86.0778
22,2.727273,0.102224,49,202.020202,42.38989,237,32.79921,46.816491,237,0.543199,84.388186,82.9427
38,0.131579,0.116676,26,263.157895,34.136487,389,21.334607,28.116318,230,0.427302,86.956522,94.7264
34,0.794118,0.103112,187,84.388186,34.257364,238,22.577282,28.537266,237,0.422428,84.388186,83.8148
27,1.62963,0.115541,345,50.632911,22.741735,245,21.19833,27.994167,245,0.47146,81.632653,82.4214
25,1.24,0.072327,42,217.391304,22.229328,241,25.386775,33.344744,241,0.604438,82.987552,83.4221
22,0.272727,0.094323,182,86.206897,26.277811,240,28.852387,34.628126,239,0.576317,83.682008,84.7595
16,1.1875,0.117124,178,87.719298,31.292452,231,18.941663,23.888487,230,0.416462,86.956522,88.0073
15,2.2,0.077518,155,97.560976,35.553031,388,23.589359,26.571269,207,0.490529,96.618357,96.2205
12,6.25,0.10572,118,119.047619,12.396909,383,23.856177,26.017019,383,0.419892,52.219321,114.668
13,4.846154,0.07035,140,105.263158,23.137052,373,17.543261,23.519981,372,0.371652,53.763441,109.607
9,19.555556,0.081522,134,108.695652,38.093337,338,21.846205,33.028133,154,0.367484,129.87013,106.32
29,0.241379,0.120568,98,135.135135,55.354044,150,41.111936,57.777019,150,0.602672,133.333333,135.099
31,0.83871,0.098058,94,138.888889,62.883143,287,67.919049,70.364944,145,0.63848,137.931034,139.117
29,1.241379,0.149183,87,145.985401,59.045652,277,71.674588,73.921183,138,0.668594,144.927536,146.455
20,4.25,0.203305,82,151.515152,41.064812,392,72.232793,78.16574,131,0.722189,152.671756,151.946
19,0.315789,0.194405,78,156.25,37.272231,129,48.618888,62.330763,129,0.747256,155.03876,155.967
35,0.142857,0.122528,77,157.480315,44.512387,391,32.583331,47.752888,127,0.636917,157.480315,152.247
74,0.067568,0.070646,6,357.142857,81.532754,399,68.868945,53.180705,5,0.743161,4000,143.5
37,0.162162,0.083223,95,137.931034,69.025312,289,59.175197,67.904333,143,0.657443,139.86014,137.446
49,0.040816,0.073549,59,183.486239,75.433923,398,50.756553,50.228161,144,0.536446,138.888889,129.588
18,2.388889,0.176966,99,134.228188,46.850059,295,37.855758,52.91681,146,0.658204,136.986301,135.166
16,2.75,0.23208,98,135.135135,41.808987,298,56.596641,56.803587,148,0.720954,135.135135,134.91
15,3.133333,0.243463,101,132.450331,39.904899,305,51.540479,52.242057,152,0.703177,131.578947,131.154
13,3.769231,0.22801,108,126.582278,51.224621,315,44.702604,43.130435,158,0.584539,126.582278,125.88
12,6.333333,0.190472,120,117.647059,49.442858,338,42.570869,39.466642,169,0.504257,118.343195,118.294
14,3.142857,0.111456,125,114.285714,24.509844,358,39.49021,41.400408,178,0.56724,112.359551,111.224
13,4,0.125754,133,109.289617,34.363017,373,49.053017,49.518028,185,0.581372,108.108108,107.564
13,2,0.135901,143,103.626943,31.060044,384,45.695736,53.240565,191,0.661781,104.712042,103.168
16,1.3125,0.140045,147,101.522843,29.378268,392,44.355917,55.14386,195,0.589411,102.564103,101.275
16,2.875,0.159068,153,98.522167,32.682605,399,54.822473,61.674924,200,0.614254,100,98.553
16,1.125,0.134329,157,96.618357,45.879186,204,59.795532,62.005946,204,0.618875,98.039216,97.1333
14,1.142857,0.111319,155,97.560976,35.120378,205,58.380363,60.492568,205,0.625083,97.560976,97.4763
19,2.789474,0.117709,157,96.618357,57.356022,399,37.264551,40.963717,207,0.455224,96.618357,94.1842
22,0.227273,0.065189,7,350.877193,41.811017,340,18.171809,33.377691,249,0.130845,80.321285,80.1696
47,1.085106,0.076539,13,317.460317,42.461594,399,18.479863,16.808397,6,0.747213,3333.333333,117.256
51,0.509804,0.074314,158,96.153846,42.212809,395,21.416096,29.032936,208,0.375089,96.153846,97.5809
21,0.428571,0.08242,20,285.714286,61.55603,379,29.600835,33.109773,218,0.409102,91.743119,91.0301
26,0.076923,0.083486,163,93.896714,52.175172,212,40.365305,48.078944,212,0.522205,94.339623,93.4948
24,0.75,0.110447,163,93.896714,35.344104,212,32.928231,46.705022,212,0.598423,94.339623,93.3346
22,1.818182,0.081425,154,98.039216,40.354134,217,37.748584,52.710593,218,0.575137,91.743119,91.3765
19,0.105263,0.091584,174,89.285714,37.271863,223,32.253347,63.869021,224,0.554021,89.285714,89.0877
16,1.75,0.081252,47,206.185567,33.025976,221,44.845131,69.511336,222,0.568876,90.09009,90.5912
15,3.066667,0.081033,153,98.522167,37.737741,218,46.503156,73.712337,217,0.57442,92.165899,94.5675
20,0.35,0.104522,173,89.686099,29.824969,222,32.117993,65.077477,222,0.593981,90.09009,89.6744
28,0.321429,0.071454,77,157.480315,32.862327,223,44.009448,70.330428,223,0.621013,89.686099,88.8889
35,0.057143,0.077504,177,88.105727,32.83108,228,44.205519,75.629809,228,0.602409,87.719298,87.4393
25,3.24,0.087983,8,344.827586,42.270663,399,29.984551,44.383906,228,0.44636,87.719298,86.6333
11,15.545455,0.083168,8,344.827586,31.997358,250,14.451737,34.846499,251,0.266162,79.681275,78.9768
17,1.882353,0.066611,132,109.89011,37.138757,399,23.000259,25.669269,248,0.203009,80.645161,104.529
22,1.818182,0.074771,160,95.238095,46.915744,206,25.259554,29.353733,206,0.370305,97.087379,88.7574
24,2.041667,0.200043,154,98.039216,33.694628,204,29.226366,34.11962,205,0.483112,97.560976,96.9634
23,0.565217,0.116623,145,102.564103,21.494023,378,25.370079,27.446969,195,0.33295,102.564103,105.33
24,1.458333,0.160583,122,116.27907,44.26218,354,32.506483,30.238926,171,0.345744,116.959064,116.649
22,5.227273,0.090539,114,121.95122,33.827144,327,24.219342,34.025966,165,0.579122,121.212121,124.519
18,2.666667,0.111431,106,128.205128,53.748834,160,40.093822,45.322691,159,0.606644,125.786164,127.885
18,0.111111,0.099167,107,127.388535,74.036241,309,63.761239,61.115527,156,0.519368,128.205128,129.702
16,4.4375,0.134918,98,135.135135,40.408896,151,62.959866,75.222926,151,0.750048,132.450331,133.464
32,0.1875,0.103425,91,141.843972,45.472754,148,47.838351,61.305817,148,0.696216,135.135135,134.228
