@relation classbase

@attribute 21 numeric
@attribute 0.8571428571428571 numeric
@attribute 0.2779698908132899 numeric
@attribute 269 numeric
@attribute 62.69592476489028 numeric
@attribute 0 numeric
@attribute 320 numeric
@attribute 41.66489827547461 numeric
@attribute 30.991246692863918 numeric
@attribute 27 numeric
@attribute 0.431808247170356 numeric
@attribute 740.7407407407408 numeric
@attribute unvoiced {unvoiced,voiced}

@data
44,0.568182,0.119771,75,160,76.274022,377,47.444539,45.264027,110,0.490342,181.818182,voiced
24,1.875,0.227879,65,173.913043,71.158394,340,77.335793,74.192173,115,0.700739,173.913043,voiced
16,7.3125,0.17825,66,172.413793,44.664816,116,41.984094,47.890425,116,0.664309,172.413793,voiced
12,2.333333,0.245229,67,170.940171,39.350053,117,48.388228,52.968312,117,0.701995,170.940171,voiced
17,2.588235,0.207089,67,170.940171,39.000163,115,48.670421,56.918826,115,0.779094,173.913043,voiced
21,1.190476,0.237876,66,172.413793,31.866321,345,62.266146,66.565193,115,0.779961,173.913043,voiced
23,0.217391,0.309893,65,173.913043,18.369477,345,61.731089,66.566341,115,0.78674,173.913043,voiced
25,0.96,0.229532,65,173.913043,27.501109,346,47.310865,52.686709,116,0.733166,172.413793,voiced
25,0.2,0.171014,65,173.913043,36.877755,349,53.433038,56.675325,116,0.723809,172.413793,voiced
22,0.363636,0.163566,69,168.067227,44.318591,358,58.424504,59.263778,118,0.706275,169.491525,voiced
20,0.55,0.135444,75,160,77.367017,372,61.793701,55.518556,123,0.590975,162.601626,voiced
12,0.833333,0.082099,74,161.290323,53.927414,133,24.836787,36.521556,132,0.463891,151.515152,unvoiced
13,0.230769,0.068649,105,129.032258,64.070287,156,36.789339,84.556403,158,0.096669,126.582278,unvoiced
40,0.175,0.082362,7,350.877193,124.344377,399,82.648845,79.26336,3,0.934839,6666.666667,unvoiced
56,0.232143,0.102111,4,370.37037,111.40064,259,78.193813,56.164718,3,0.692698,6666.666667,unvoiced
48,0.1875,0.066514,43,215.053763,101.52,371,62.853632,38.133568,147,0.065765,136.054422,unvoiced
34,0.735294,0.059649,17,298.507463,47.021503,394,26.04302,22.55702,42,0.251776,476.190476,unvoiced
26,0.923077,0.055685,9,338.983051,92.521144,399,70.409138,91.610175,186,0.207504,107.526882,unvoiced
34,0.352941,0.069779,73,162.601626,121.574737,398,97.826186,64.023865,9,0.603354,2222.222222,unvoiced
40,2.4,0.067311,10,333.333333,45.436776,372,19.85358,20.052216,135,0.304843,148.148148,unvoiced
26,1.153846,0.07691,75,160,48.231901,395,23.47247,25.505907,142,0.53279,140.84507,voiced
26,1.115385,0.175013,94,138.888889,35.901464,142,37.799876,40.886681,142,0.737745,140.84507,voiced
31,0.387097,0.16723,95,137.931034,21.051535,285,48.025917,47.923277,142,0.747998,140.84507,voiced
28,0.392857,0.212351,94,138.888889,14.287608,286,45.744915,44.564223,143,0.711865,139.86014,voiced
27,1.444444,0.157529,92,140.84507,36.644346,288,32.603725,33.148555,144,0.648655,138.888889,voiced
25,1.08,0.077813,4,370.37037,38.235861,287,17.344478,19.209092,146,0.415642,136.986301,voiced
19,3.894737,0.092941,56,188.679245,69.443326,363,44.168746,29.591591,146,0.375641,136.986301,voiced
15,5.066667,0.081575,1,392.156863,61.439092,397,39.341062,34.07808,70,0.408684,285.714286,voiced
17,0.294118,0.054576,3,377.358491,44.687732,399,47.701611,65.014007,79,0.398603,253.164557,voiced
16,0.1875,0.051785,2,384.615385,58.265068,399,33.324094,30.366124,81,0.371087,246.91358,unvoiced
37,0.27027,0.076686,44,212.765957,37.295079,91,12.180392,13.460029,5,0.85876,4000,unvoiced
49,1.102041,0.076898,173,89.686099,44.388812,104,22.058375,20.108029,9,0.639577,2222.222222,unvoiced
40,0.05,0.101756,78,156.25,60.120684,399,46.955823,65.603944,238,0.460091,84.033613,unvoiced
20,0.5,0.172305,150,100,54.935797,362,28.546358,22.2054,19,0.21738,1052.631579,voiced
18,1.277778,0.101903,109,125.786164,42.242728,399,19.354392,16.411847,23,0.227951,869.565217,voiced
21,0.761905,0.131876,118,119.047619,49.946208,335,36.571346,32.121262,167,0.550192,119.760479,voiced
20,0.1,0.088223,116,120.481928,31.882905,331,36.063407,34.32784,165,0.619127,121.212121,voiced
20,1.35,0.147974,112,123.45679,27.681177,162,31.53749,35.456189,162,0.680339,123.45679,voiced
23,0.347826,0.10393,109,125.786164,32.847796,324,31.856961,37.336331,162,0.638364,123.45679,voiced
25,2.04,0.093328,109,125.786164,45.170529,335,33.299091,24.965496,166,0.539519,120.481928,voiced
46,0.065217,0.09169,8,344.827586,75.875768,344,42.304181,33.015622,10,0.662242,2000,unvoiced
66,0.151515,0.107102,11,327.868852,64.73131,393,27.935954,27.713774,9,0.813066,2222.222222,unvoiced
72,0.125,0.071222,23,273.972603,12.523139,394,13.529495,15.142411,10,0.749652,2000,unvoiced
65,0.138462,0.076497,138,106.382979,31.732473,399,14.538615,15.083508,10,0.693567,2000,unvoiced
66,0.045455,0.083606,273,61.919505,34.617953,322,12.507394,7.605065,20,0.288235,1000,unvoiced
84,0.095238,0.074483,40,222.222222,15.899158,375,5.548617,5.634545,9,0.294586,2222.222222,unvoiced
98,0.071429,0.071008,34,238.095238,28.937494,399,13.633237,9.811616,10,0.426283,2000,unvoiced
58,0.051724,0.089809,87,145.985401,97.50428,393,61.228415,45.271784,9,0.625066,2222.222222,unvoiced
29,0.241379,0.10237,10,333.333333,63.280788,399,43.870799,50.875099,155,0.202301,129.032258,unvoiced
35,0.314286,0.077702,55,190.47619,57.04184,399,30.645424,46.162473,135,0.168458,148.148148,unvoiced
35,0.942857,0.071011,82,151.515152,85.400681,340,69.330381,42.232489,13,0.493759,1538.461538,unvoiced
25,0.96,0.097538,13,317.460317,66.138466,308,37.962704,39.121357,155,0.477346,129.032258,voiced
23,0.521739,0.102247,112,123.45679,48.358938,321,32.937055,37.350987,160,0.557153,125,voiced
27,0.37037,0.134715,114,121.95122,30.535889,329,24.422976,29.696541,165,0.642696,121.212121,voiced
28,0.25,0.127377,119,118.343195,38.805633,346,29.470219,24.684785,171,0.430427,116.959064,voiced
30,1.733333,0.199662,127,112.99435,27.826025,354,32.676707,29.586231,178,0.538189,112.359551,voiced
30,0.866667,0.105096,135,108.108108,15.308502,372,28.068791,27.114372,186,0.538476,107.526882,voiced
25,1.8,0.238155,144,103.092784,38.326991,383,35.638161,23.605759,30,0.325655,666.666667,voiced
27,0.518519,0.119506,158,96.153846,39.156403,380,31.57295,24.522151,205,0.39661,97.560976,voiced
31,0.064516,0.136232,164,93.457944,44.259369,209,26.749422,21.19775,211,0.381233,94.78673,voiced
32,0.84375,0.09665,3,377.358491,36.817459,382,19.645165,20.267907,219,0.420862,91.324201,voiced
28,1.142857,0.092059,5,363.636364,24.725583,213,19.645397,24.179682,213,0.569074,93.896714,voiced
28,2.392857,0.07531,5,363.636364,48.375485,213,34.569022,38.518637,213,0.506773,93.896714,voiced
36,0.055556,0.076175,11,327.868852,40.885014,219,39.555678,38.563551,219,0.570425,91.324201,voiced
38,0.657895,0.091132,0,400,45.665116,220,32.181241,32.014425,220,0.55978,90.909091,voiced
41,0.317073,0.104949,4,370.37037,52.665453,383,38.2048,22.508173,231,0.301223,86.580087,voiced
39,0.794872,0.072299,171,90.497738,51.910421,385,39.700802,21.236279,203,0.283024,98.522167,voiced
31,0.516129,0.090579,41,219.78022,57.219285,392,32.355858,17.816935,17,0.272499,1176.470588,unvoiced
26,0.615385,0.080022,80,153.846154,73.320142,382,77.338778,41.883708,17,0.42519,1176.470588,unvoiced
20,0.95,0.083242,0,400,65.871062,399,75.379042,55.152358,17,0.61227,1176.470588,unvoiced
13,2.615385,0.083191,89,143.884892,75.135238,372,77.295656,54.141217,16,0.57107,1250,unvoiced
7,18.285714,0.078377,33,240.963855,72.255685,325,79.785083,73.885952,326,0.33698,61.349693,unvoiced
10,5.2,0.086902,66,172.413793,88.472307,349,65.228348,81.676488,127,0.286325,157.480315,unvoiced
15,4.266667,0.118548,7,350.877193,80.745536,371,73.567646,49.323714,352,0.221887,56.818182,unvoiced
24,0.333333,0.072816,35,235.294118,73.790309,389,69.201291,38.903196,374,0.128657,53.475936,unvoiced
34,0.058824,0.074282,10,333.333333,102.281398,399,87.286586,75.301863,14,0.713762,1428.571429,unvoiced
48,0.0625,0.066431,18,294.117647,74.416156,396,53.919486,49.985742,3,0.889952,6666.666667,unvoiced
65,0.030769,0.07409,87,145.985401,52.390402,398,27.682943,22.624089,3,0.745011,6666.666667,unvoiced
54,0.092593,0.074395,270,62.5,107.310871,398,73.549087,57.670516,3,0.756916,6666.666667,unvoiced
38,0.315789,0.074451,24,270.27027,84.802653,399,63.304493,56.720649,5,0.864404,4000,unvoiced
47,0.085106,0.083174,9,338.983051,64.951986,399,47.810754,37.312026,5,0.738579,4000,unvoiced
67,0.059701,0.08296,58,185.185185,71.670527,398,63.541834,38.118722,3,0.568424,6666.666667,unvoiced
40,0.1,0.151642,267,63.091483,0,320,29.647344,13.016512,3,0.371585,6666.666667,unvoiced
35,0.057143,0.110299,1,392.156863,0,319,32.146601,14.407264,3,0.385959,6666.666667,unvoiced
76,0.210526,0.096547,91,141.843972,86.783587,397,66.231844,32.344056,5,0.458149,4000,unvoiced
87,0.103448,0.095347,28,256.410256,86.056236,399,77.300073,34.664527,3,0.422568,6666.666667,unvoiced
83,0.108434,0.062972,49,202.020202,60.659042,394,56.329697,25.615096,3,0.41923,6666.666667,unvoiced
82,0.073171,0.08172,0,400,79.863678,393,74.309591,31.099647,3,0.3916,6666.666667,unvoiced
91,0.032967,0.080495,20,285.714286,77.978466,389,61.408027,27.660992,3,0.417877,6666.666667,unvoiced
103,0.135922,0.098558,46,208.333333,70.244835,399,60.753751,21.503663,3,0.321028,6666.666667,unvoiced
98,0.030612,0.102558,1,392.156863,75.179856,396,52.893743,19.262409,3,0.32636,6666.666667,unvoiced
79,0.063291,0.079345,25,266.666667,74.670024,399,61.834841,29.144112,3,0.438978,6666.666667,unvoiced
51,0.039216,0.07135,59,183.486239,45.993353,399,19.564105,52.979635,131,0.254529,152.671756,unvoiced
19,1.894737,0.050445,29,253.164557,29.788268,399,10.212583,16.305429,31,0.421581,645.16129,unvoiced
24,0.75,0.068163,242,68.493151,25.732305,399,10.456624,16.294524,31,0.410699,645.16129,unvoiced
30,0.166667,0.06755,80,153.846154,28.508508,384,10.165235,22.337171,30,0.328293,666.666667,unvoiced
29,1.034483,0.132072,160,95.238095,28.245339,356,22.518686,26.858607,356,0.348982,56.179775,voiced
19,2.157895,0.117329,122,116.27907,48.462029,395,30.373143,31.744495,172,0.386674,116.27907,voiced
17,2.411765,0.163965,113,122.699387,43.79071,335,37.429711,39.555146,164,0.52245,121.95122,voiced
12,15.666667,0.076896,67,170.940171,52.756731,164,25.339934,31.728685,164,0.462854,121.95122,voiced
46,0.086957,0.136874,39,224.719101,39.539016,396,12.212834,11.13042,9,0.501965,2222.222222,unvoiced
98,0.091837,0.073563,8,344.827586,40.2962,398,15.848913,9.514526,9,0.411039,2222.222222,unvoiced
84,0.095238,0.090411,89,143.884892,81.264511,392,52.2126,26.811375,9,0.475199,2222.222222,unvoiced
41,1.121951,0.137014,86,147.058824,66.329651,274,72.598625,77.28597,138,0.678883,144.927536,voiced
23,1.304348,0.124554,82,151.515152,52.010643,397,42.538419,45.575134,130,0.601224,153.846154,voiced
22,1.181818,0.125957,78,156.25,50.894542,378,58.194315,60.877158,126,0.719609,158.730159,voiced
24,1.166667,0.201461,72,163.934426,38.88524,367,53.668481,56.352062,121,0.695978,165.289256,voiced
29,0.448276,0.335939,69,168.067227,44.101946,358,56.7877,61.325952,119,0.745337,168.067227,voiced
28,0.75,0.208114,75,160,63.978527,374,50.50426,32.280038,119,0.262949,168.067227,voiced
21,1.619048,0.136375,2,384.615385,67.765915,362,36.06952,30.290571,72,0.313022,277.777778,voiced
15,2.2,0.118309,86,147.058824,58.12271,375,46.582889,51.763487,80,0.510133,250,voiced
11,5.272727,0.10041,6,357.142857,69.307145,373,34.675173,56.471297,80,0.475017,250,voiced
26,0.230769,0.07415,4,370.37037,89.825329,140,65.57519,104.077265,139,0.473918,143.884892,unvoiced
84,0.035714,0.08878,86,147.058824,46.380114,396,16.056715,8.365937,5,0.396466,4000,unvoiced
125,0.04,0.085403,15,307.692308,51.171433,399,19.849136,10.550673,5,0.430783,4000,unvoiced
118,0.076271,0.075866,10,333.333333,72.70151,399,41.238718,15.214727,9,0.320445,2222.222222,unvoiced
107,0.140187,0.095114,80,153.846154,68.608106,398,58.4104,23.748215,9,0.355214,2222.222222,unvoiced
101,0.049505,0.078579,56,188.679245,73.786603,399,47.755082,18.883948,9,0.332613,2222.222222,unvoiced
94,0.095745,0.0904,45,210.526316,65.373099,380,47.727723,18.916649,10,0.333489,2000,unvoiced
81,0.185185,0.073088,18,294.117647,64.30775,399,33.368986,17.182823,10,0.42503,2000,unvoiced
49,0.22449,0.078979,5,363.636364,62.169438,397,60.082608,43.689219,5,0.677221,4000,voiced
21,0.238095,0.117285,88,144.927536,51.858212,279,60.041898,74.523698,139,0.658269,143.884892,voiced
16,0.5625,0.147359,90,142.857143,41.644525,282,81.567516,93.922649,141,0.746898,141.843972,voiced
22,0.272727,0.155948,94,138.888889,36.783769,285,36.058399,51.805592,145,0.632463,137.931034,voiced
21,2,0.157064,101,132.450331,60.488979,150,56.34374,66.615697,150,0.685359,133.333333,voiced
15,2.266667,0.172234,106,128.205128,44.771181,309,68.662182,76.824678,153,0.711085,130.718954,voiced
19,0.157895,0.136726,113,122.699387,42.397168,321,58.266991,65.184381,158,0.638172,126.582278,voiced
19,0.315789,0.190645,116,120.481928,32.004512,335,69.014984,80.841594,166,0.664227,120.481928,voiced
17,5.058824,0.220199,123,115.606936,33.66926,342,80.131968,89.41918,173,0.66664,115.606936,voiced
16,0.5,0.085008,126,113.636364,52.652111,354,52.334821,59.877398,176,0.589997,113.636364,voiced
10,7.3,0.074925,121,116.959064,47.742787,399,19.449144,32.853824,174,0.249565,114.942529,voiced
11,0.818182,0.105692,156,97.087379,58.658587,390,38.961178,67.611385,200,0.375024,100,unvoiced
73,0.041096,0.077623,22,277.777778,34.199326,383,13.466733,12.455117,8,0.479338,2500,unvoiced
154,0.019481,0.085182,10,333.333333,69.553153,395,35.102021,11.822849,3,0.279837,6666.666667,unvoiced
175,0.017143,0.100703,1,392.156863,66.75784,399,60.604349,29.31995,3,0.450792,6666.666667,unvoiced
111,0.018018,0.071783,102,131.578947,62.831249,396,31.400468,25.222895,3,0.739572,6666.666667,unvoiced
36,0.277778,0.146533,132,109.89011,51.328335,182,29.72712,38.29585,182,0.514542,109.89011,voiced
16,0.125,0.235416,127,112.99435,27.599647,356,49.271696,57.32559,179,0.676364,111.731844,voiced
20,0.2,0.16874,129,111.731844,31.088925,360,36.005143,52.697245,179,0.630389,111.731844,voiced
65,0.076923,0.083921,83,150.37594,53.070098,374,24.690298,21.750304,4,0.75942,5000,voiced
121,0.033058,0.093886,77,157.480315,77.592158,397,55.919414,39.084983,5,0.663186,4000,unvoiced
145,0.027586,0.076699,20,285.714286,59.065199,391,49.707136,32.579436,5,0.615192,4000,unvoiced
146,0.027397,0.09294,42,217.391304,64.156636,398,56.631624,36.358026,5,0.606693,4000,unvoiced
140,0.028571,0.058003,61,180.18018,68.605259,399,60.451954,42.030851,5,0.662193,4000,unvoiced
136,0.029412,0.083532,17,298.507463,81.715871,392,66.137792,50.336429,5,0.730844,4000,unvoiced
121,0.041322,0.118511,8,344.827586,62.40578,394,49.276525,34.609339,5,0.661762,4000,unvoiced
81,0.037037,0.075943,62,178.571429,59.287448,399,33.250085,18.669886,5,0.471274,4000,unvoiced
40,2.025,0.096332,111,124.223602,58.896601,348,36.60427,43.389365,157,0.420425,127.388535,unvoiced
18,3.388889,0.13074,123,115.606936,68.265595,342,56.943927,61.342687,169,0.532852,118.343195,voiced
11,8.909091,0.119975,123,115.606936,46.456854,357,42.052711,67.873236,173,0.591478,115.606936,voiced
7,10.857143,0.185949,121,116.959064,40.340366,344,136.790925,137.54511,172,0.683855,116.27907,voiced
10,0.2,0.216056,121,116.959064,16.353637,341,128.276085,132.328564,169,0.704173,118.343195,voiced
11,5.818182,0.187315,123,115.606936,34.450967,172,63.952446,86.583499,172,0.681499,116.27907,voiced
14,0.642857,0.207496,122,116.27907,31.457802,172,41.339101,34.466302,172,0.688605,116.27907,voiced
18,0.555556,0.233897,119,118.343195,32.734796,341,40.976895,32.798238,170,0.653984,117.647059,voiced
21,0.47619,0.324391,120,117.647059,31.376296,339,36.067121,29.320869,170,0.61887,117.647059,voiced
20,0.65,0.212824,119,118.343195,33.700478,339,40.70098,48.06585,169,0.664993,118.343195,voiced
18,1.611111,0.319032,119,118.343195,22.061185,338,41.557717,51.650178,169,0.737533,118.343195,voiced
18,5.111111,0.182027,120,117.647059,24.889943,169,35.349388,47.154923,169,0.711608,118.343195,voiced
20,0.25,0.107833,121,116.959064,34.279452,345,24.66243,37.447708,171,0.585819,116.959064,voiced
56,0.053571,0.07565,118,119.047619,44.837033,368,18.557495,15.884534,5,0.694304,4000,unvoiced
110,0.036364,0.088332,88,144.927536,65.818211,393,37.491484,26.887052,5,0.637133,4000,unvoiced
135,0.037037,0.068442,33,240.963855,86.84019,399,65.190402,50.102558,5,0.737878,4000,unvoiced
139,0.035971,0.079102,23,273.972603,75.477167,398,78.129419,62.943924,5,0.780038,4000,unvoiced
136,0.036765,0.084173,6,357.142857,101.241528,398,83.216165,67.087192,5,0.782146,4000,unvoiced
135,0.02963,0.071387,33,240.963855,91.443387,388,101.63358,87.012858,5,0.836464,4000,unvoiced
135,0.037037,0.074399,101,132.450331,87.329542,399,95.531544,80.357453,5,0.820226,4000,unvoiced
136,0.022059,0.091985,26,263.157895,72.44526,397,59.483358,45.537924,5,0.731935,4000,unvoiced
136,0.022059,0.091458,55,190.47619,58.83165,395,41.755597,32.646001,5,0.733938,4000,unvoiced
128,0.054688,0.065797,5,363.636364,74.912192,398,49.547749,37.718486,5,0.72089,4000,unvoiced
80,0.9875,0.064205,68,169.491525,48.736767,117,21.150444,28.691987,117,0.36368,170.940171,unvoiced
29,2.310345,0.115339,102,131.578947,78.191832,377,57.135076,50.999246,149,0.542561,134.228188,voiced
20,2.7,0.119181,103,130.718954,57.133352,300,76.477254,68.868769,152,0.638997,131.578947,voiced
24,0.625,0.151593,109,125.786164,54.828065,314,73.78746,64.994791,156,0.623342,128.205128,voiced
27,0.37037,0.189691,115,121.212121,56.616112,332,58.501242,48.532023,164,0.50481,121.95122,voiced
23,1.826087,0.08854,6,357.142857,58.762211,351,58.90447,47.693159,174,0.487113,114.942529,voiced
20,2.05,0.180576,138,106.382979,31.483924,375,38.14986,46.807842,187,0.545424,106.951872,voiced
18,0.444444,0.15441,147,101.522843,27.861131,399,32.192915,43.970687,198,0.527156,101.010101,voiced
23,0.130435,0.099038,157,96.618357,33.672561,207,38.064809,50.747699,207,0.597604,96.618357,voiced
28,1.535714,0.092458,166,92.592593,37.743876,217,40.249015,57.406891,217,0.581552,92.165899,voiced
25,0.28,0.085583,33,240.963855,41.390723,219,30.092788,50.503029,222,0.515174,90.09009,voiced
38,0.263158,0.060483,167,92.165899,55.811769,231,29.585096,22.979429,7,0.64152,2857.142857,voiced
61,0.131148,0.076974,72,163.934426,81.457064,386,56.168676,28.316729,9,0.432923,2222.222222,unvoiced
87,0.114943,0.087675,129,111.731844,88.086612,398,73.848121,26.196334,10,0.300567,2000,unvoiced
86,0.081395,0.07297,49,202.020202,90.47952,399,78.063324,24.581912,10,0.263657,2000,unvoiced
84,0.154762,0.076784,18,294.117647,82.305936,394,58.605482,20.220725,11,0.276778,1818.181818,unvoiced
92,0.054348,0.089717,32,243.902439,70.961025,396,57.043973,17.104075,36,0.229719,555.555556,unvoiced
96,0.041667,0.074387,73,162.601626,63.27106,374,42.447946,10.479072,128,0.152636,156.25,unvoiced
102,0.078431,0.088755,110,125,79.759922,398,67.588654,19.789876,36,0.233617,555.555556,unvoiced
102,0.088235,0.08407,1,392.156863,75.002655,391,59.060853,16.031612,36,0.220647,555.555556,unvoiced
103,0.087379,0.063489,149,100.502513,83.097652,396,63.699719,22.388135,17,0.304368,1176.470588,unvoiced
101,0.079208,0.071409,58,185.185185,88.55521,399,70.278099,21.024546,17,0.256475,1176.470588,unvoiced
83,0.072289,0.076389,4,370.37037,85.366601,380,61.739099,23.984723,5,0.323696,4000,unvoiced
79,0.113924,0.075432,66,172.413793,70.747709,399,57.672709,20.275386,6,0.282203,3333.333333,unvoiced
88,0.068182,0.062305,37,229.885057,84.562779,397,71.146455,19.575229,6,0.232973,3333.333333,unvoiced
93,0.075269,0.092079,4,370.37037,83.522174,396,55.350237,23.08852,6,0.362935,3333.333333,unvoiced
81,0.061728,0.080073,5,363.636364,67.18148,390,39.676037,18.521212,6,0.391199,3333.333333,unvoiced
54,0.222222,0.085161,0,400,88.513791,366,67.933722,26.228417,6,0.327207,3333.333333,unvoiced
32,0.1875,0.112585,6,357.142857,72.012917,385,47.44617,28.50647,234,0.284669,85.470085,unvoiced
32,0.21875,0.075023,3,377.358491,99.397382,399,67.868701,25.009967,309,0.132756,64.724919,unvoiced
32,2.09375,0.079634,125,114.285714,89.065389,391,72.881254,52.932117,141,0.246046,141.843972,unvoiced
23,1.347826,0.094054,42,217.391304,80.808489,335,67.691498,56.809824,70,0.336967,285.714286,unvoiced
20,3.35,0.072231,160,95.238095,105.08018,367,117.643547,67.761494,182,0.312482,109.89011,unvoiced
49,0.061224,0.05336,83,150.37594,25.460069,366,8.874919,6.844103,3,0.545819,6666.666667,unvoiced
71,0.112676,0.069615,2,384.615385,9.925474,377,8.619591,6.536047,3,0.526248,6666.666667,unvoiced
68,0.044118,0.077611,109,125.786164,32.969985,397,10.31609,8.79292,3,0.658478,6666.666667,unvoiced
71,0.464789,0.075504,187,84.388186,70.723705,399,38.828924,28.400352,3,0.679915,6666.666667,unvoiced
80,0.0375,0.068911,24,270.27027,77.664397,399,62.197345,38.286722,3,0.583413,6666.666667,unvoiced
76,0.052632,0.074854,115,121.212121,77.526548,390,62.304976,38.023186,3,0.578175,6666.666667,unvoiced
86,0.081395,0.076796,77,157.480315,101.159591,384,78.376254,38.063851,3,0.460137,6666.666667,unvoiced
88,0.147727,0.085673,3,377.358491,95.397336,391,67.664735,32.816737,3,0.455433,6666.666667,unvoiced
92,0.021739,0.08455,148,101.010101,65.394762,397,43.436044,22.596318,3,0.474176,6666.666667,unvoiced
87,0.034483,0.076922,28,256.410256,67.711027,381,52.235192,29.587113,3,0.528133,6666.666667,unvoiced
81,0.061728,0.06109,56,188.679245,91.661404,390,64.625049,36.936342,3,0.540601,6666.666667,unvoiced
75,0.066667,0.095672,5,363.636364,101.193251,397,63.778067,42.69613,3,0.653769,6666.666667,unvoiced
71,0.070423,0.091385,5,363.636364,97.369165,399,62.996305,42.093814,3,0.636447,6666.666667,unvoiced
52,0.538462,0.104775,341,51.150895,8.062968,398,40.131554,15.596031,3,0.338787,6666.666667,unvoiced
49,0.061224,0.149086,220,74.074074,0,319,34.266942,8.313162,13,0.184235,1538.461538,unvoiced
106,0.04717,0.083499,3,377.358491,69.70513,399,60.08986,11.023518,8,0.150167,2500,unvoiced
87,0.149425,0.070666,112,123.45679,69.891512,398,45.583686,17.171403,5,0.28895,4000,unvoiced
50,0.64,0.082609,40,222.222222,77.090858,399,44.087801,18.685359,63,0.265047,317.460317,unvoiced
45,0.555556,0.072093,0,400,94.274146,390,56.113159,41.12935,25,0.626045,800,unvoiced
45,0.288889,0.082559,0,400,77.285125,390,54.424963,29.651214,25,0.434566,800,unvoiced
44,0.340909,0.086927,20,285.714286,61.960673,353,40.267885,22.18927,26,0.352372,769.230769,unvoiced
44,0.272727,0.0871,67,170.940171,75.659516,399,66.02982,33.805222,26,0.405956,769.230769,unvoiced
37,1.135135,0.067382,43,215.053763,50.909494,379,26.06662,16.31646,15,0.319046,1333.333333,unvoiced
25,0.64,0.072226,29,253.164557,30.820751,399,14.270887,16.165708,142,0.291903,140.84507,voiced
23,0.73913,0.109953,103,130.718954,39.758343,292,21.444742,21.148371,154,0.426602,129.87013,voiced
23,1.130435,0.153471,87,145.985401,58.065808,291,37.78774,23.583677,140,0.306546,142.857143,voiced
19,1.526316,0.158376,86,147.058824,60.902947,399,44.183598,38.244343,138,0.571351,144.927536,voiced
13,7.692308,0.142158,83,150.37594,35.915707,134,26.237162,32.621721,134,0.709746,149.253731,voiced
7,18.142857,0.09318,78,156.25,34.957039,399,23.449503,55.05208,132,0.513959,151.515152,voiced
5,24.4,0.144325,75,160,25.367563,375,186.590472,213.698031,124,0.807641,161.290323,voiced
5,23.8,0.148246,71,165.289256,18.894274,364,169.582898,195.300056,120,0.803737,166.666667,voiced
6,19,0.140474,69,168.067227,24.429004,352,174.522681,198.748345,117,0.800746,170.940171,voiced
8,4.25,0.102288,65,173.913043,32.21382,113,25.203848,31.122211,112,0.639673,178.571429,voiced
14,2.142857,0.196568,68,169.491525,42.554893,345,39.371307,40.190127,116,0.690608,172.413793,voiced
18,1.611111,0.149017,69,168.067227,50.631943,385,42.044635,37.718791,119,0.611702,168.067227,voiced
19,1.578947,0.083898,96,136.986301,37.756201,342,23.45288,26.138429,31,0.474928,645.16129,unvoiced
19,0.421053,0.121027,63,176.99115,39.63487,63,15.627901,24.89607,31,0.569243,645.16129,unvoiced
23,1.043478,0.225048,111,124.223602,33.106013,379,17.909716,25.760544,39,0.321644,512.820513,unvoiced
